,0
0,C001
1,C021
2,C034
3,C070
4,C079
5,C101
6,C102
7,C103
8,C104
9,C132
10,C192
11,C196
12,C212
13,C234
14,C257
15,C260
16,C280
17,C367
18,C452
19,C478
20,C503
21,C522
22,C534
23,C575
24,C578
25,T001
26,T003
27,T004
28,T005
29,T006
30,T008
31,T009
32,T010
33,T012
34,T013
35,T014
36,T017
37,T018
38,T019
39,T021
40,T023
41,T024
42,T025
43,T027
44,T028
45,T029
46,T030
47,T031
48,T032
49,T033
50,T035
51,T040
52,T042
53,T043
54,T045
55,T046
56,T058
57,T059
58,T060
59,T061
60,T062
61,T063
62,T064
63,T065
64,T066
65,T068
66,T069
67,T072
68,T073
69,T074
70,T075
71,T078
72,T080
73,T081
74,T082
